/r,"Học 5000 từ vựng tiếng Trung
qua ảnh flashcard/file PDF/Video ",,,,,,,,
Từ còn lại:150,Học lại,Ngày ghi nhớ,Câu chuyện,Từ mới,Phiên âm,Giải thích,Ví dụ (chữ hán),Phiên âm,Dịch
Hoàn thành,,,,爱,ài,yêu,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.
Hoàn thành,,,,八,bā,tám,他有八个苹果。,Tā yǒu bā ge píngguǒ.,Anh ấy có tám quả táo.
Hoàn thành,,,,爸爸,bàba,bố,我的爸爸很高。,Wǒ de bàba hěn gāo.,Bố của tôi rất cao.
Hoàn thành,,,,杯子,bēizi,cốc,这是我的杯子。,Zhè shì wǒ de bēizi.,Đây là cốc của tôi.
Hoàn thành,,,,北京,Běijīng,Bắc Kinh,北京很大。,Běijīng hěn dà.,Bắc Kinh thì lớn.
Học lần 2,,,,本,běn,cuốn (dùng cho sách),这本书很有趣。,Zhè běn shū hěn yǒuqù.,Quyển sách này rất thú vị.
Học lần 2,,,,不客气,bú kèqì,không có gì (đáp lại lời cảm ơn),不客气。,bú kèqì.,Không có gì.
Học lần 2,,,,不,bù,không,他不喜欢吃鱼。,Tā bù xǐhuān chī yú.,Anh ấy không thích ăn cá.
Học lần 2,,,,菜,cài,"món ăn, rau củ",我喜欢吃菜。,Wǒ xǐhuān chī cài.,Tôi thích ăn rau.
Học lần 2,,,,茶,chá,trà,我喝茶。,Wǒ hē chá.,Tôi uống trà.
Học lần 1,,,,吃,chī,ăn,我吃苹果。,Wǒ chī píngguǒ.,Tôi ăn táo.
Học lần 1,,,,出租车,chūzūchē,taxi,我坐出租车。,Wǒ zuò chūzūchē.,Tôi đi taxi.
Học lần 1,,,,打电话,dǎ diànhuà,gọi điện thoại,她给我打电话。,Tā gěi wǒ dǎ diànhuà.,Cô ấy gọi điện cho tôi.
Học lần 1,,,,大,dà,"lớn, to",这件衣服很大。,Zhè jiàn yīfú hěn dà.,Cái áo này rất to.
Học lần 1,,,,的,de,của (thuộc tính),这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.
Chưa học,,,,点,diǎn,giờ (trong thời gian),现在是三点。,Xiànzài shì sān diǎn?,Bây giờ là mấy giờ?
Học lần 2,,,,电脑,diànnǎo,máy tính,我用电脑。,Wǒ yòng diànnǎo.,Tôi dùng máy tính.
Học lần 1,,,,电视,diànshì,ti vi,电视很大。,Diànshì hěn dà.,Tivi thì lớn.
Chưa học,,,,电影,diànyǐng,phim,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
Học lần 2,,,,东西,dōngxī,"đồ vật, thứ",这是什么东西？,Zhè shì shénme dōngxī?,Đây là cái gì?
Chưa học,,,,都,dōu,đều ,我们都去学校。,Wǒmen dōu qù xuéxiào.,Chúng tôi đều đi đến trường.
Chưa học,,,,读,dú,đọc,她读书很快。,Tā dúshū hěn kuài.,Cô ấy đọc sách rất nhanh.
Chưa học,,,,对不起,duìbùqǐ,xin lỗi,对不起，我迟到了。,"Duìbuqǐ, wǒ chídào le.","Xin lỗi, tôi đến muộn."
Chưa học,,,,多,duō,nhiều,我有很多书。,Wǒ yǒu hěn duō shū.,Tôi có nhiều sách.
Chưa học,,,,多少,duōshǎo,bao nhiêu,这本书多少钱？,Zhè běn shū duōshǎo qián?,Quyển sách này bao nhiêu tiền?
Chưa học,,,,儿子,érzi,con trai,我的儿子很聪明。,Wǒ de érzi hěn cōngmíng.,Con trai của tôi rất thông minh.
Chưa học,,,,二,èr,hai,我喜欢“二”数字。,"Wǒ xǐhuān ""èr"" shùzi ",Tôi thích số 2.
Chưa học,,,,饭馆,fànguǎn,nhà hàng,我们去饭馆吃饭。,Wǒmen qù fànguǎn chīfàn.,Chúng tôi đi nhà hàng ăn cơm.
Chưa học,,,,飞机,fēijī,máy bay,飞机很快。,Fēijī hěn kuài.,Máy bay thì nhanh.
Chưa học,,,,分钟,fēnzhōng,phút,他等了五分钟。,Tā děngle wǔ fēnzhōng.,Anh ấy đợi năm phút.
